id,category,severity,rule,do,dont,good_code,bad_code,why,source
11,Performance,important,Modern image formats,Serve WebP or AVIF with fallbacks,Ship hero images as uncompressed PNG/JPG,"<picture><source srcset=""h.avif"" type=""image/avif""><img src=""h.jpg""></picture>","<img src=""hero.png""> <!-- 3MB -->",WebP and AVIF cut image bytes by half or more.,web.dev
12,Performance,important,Reserve media space,Set width/height or aspect-ratio to prevent CLS,Let images reflow layout on load,"<img src=""a.jpg"" width=""800"" height=""600"">","<img src=""a.jpg"">",Images with no dimensions shift the layout as they load.,web.dev
13,Performance,important,Lazy-load below the fold,Defer offscreen images,Eager-load every image on the page,"<img src=""b.jpg"" loading=""lazy"">","<img src=""b.jpg"">",Eager-loading offscreen images delays the first paint.,web.dev
14,Layout,important,No horizontal scroll,Keep content within the viewport width,Set fixed px widths wider than small screens,max-width: 100%;,width: 1200px;,Fixed widths wider than the screen force sideways scrolling on mobile.,web.dev
15,Layout,important,Allow zoom,Let users pinch-zoom,Disable zoom in the viewport meta,"<meta name=""viewport"" content=""width=device-width, initial-scale=1"">","<meta name=""viewport"" content=""... user-scalable=no"">",Blocking zoom fails low vision users.,WCAG 2.2
16,Typography,medium,Body size,Set base body text to >=16px,Use 12px body copy,font-size: 1rem;,font-size: 12px;,Body text under 16px strains reading on mobile.,web.dev
17,Typography,medium,Line length,Cap measure around 65-75 characters,Let paragraphs run the full window width,max-width: 70ch;,max-width: none;,Lines beyond about 75 characters are hard to track.,web.dev
18,Color,medium,Semantic tokens,Reference semantic tokens in components,Hardcode raw hex in components,color: var(--color-text);,color: #1a1a1a;,Hardcoded hex defeats theming and consistency.,MDN
19,Color,medium,Avoid pure black,Tint neutrals slightly toward the brand hue,Use #000 for large surfaces,background: oklch(0.15 0.01 270);,background: #000;,Pure black on large surfaces looks harsh and smears on OLED.,MDN
20,Motion,medium,Duration,Keep UI feedback between 150 and 300ms,Animate UI feedback longer than 300ms,transition: transform 200ms ease-out;,transition: transform 800ms;,UI feedback over 300ms feels sluggish.,web.dev
21,Motion,medium,Respect reduced motion,Honor prefers-reduced-motion,Animate regardless of user preference,@media (prefers-reduced-motion: reduce) { * { animation: none; } },/* no reduced-motion handling */,Motion triggers nausea for users with a vestibular disorder.,WCAG 2.2
22,Motion,medium,Animate cheap properties,Animate transform and opacity,Animate width/height/top/left,transform: translateX(10px);,left: 10px; width: 200px;,Animating layout properties forces reflow and drops frames.,web.dev
23,Forms,medium,Inline errors,Show errors next to the field,Show errors only at the top of the form,"<input aria-describedby=""e1""><span id=""e1"">Required</span>","<div class=""errors-top"">3 errors</div>",An error far from its field is hard to connect to the cause.,WCAG 2.2
24,Navigation,medium,Active state,Indicate the current page or section,Render all nav links identically,"<a aria-current=""page"">Home</a>",<a>Home</a>,Users need to know which page or section they are on.,WCAG 2.2
25,Data,low,Chart encoding,Add labels or patterns beyond color,Encode chart series by color alone,<svg><title>Sales by region</title>...</svg>,"<div class=""bar"" style=""background:red""></div>",Color alone excludes color blind readers from a chart.,WCAG 2.2
26,Forms,important,Mobile keyboard triggers,"Pair type, inputmode and autocomplete so codes and amounts raise the numeric keyboard","Use type=""number"" for codes, IDs or one-time codes","<input type=""text"" inputmode=""numeric"" autocomplete=""one-time-code"">","<input type=""number""> <!-- OTP field -->",The wrong input type raises the wrong keyboard for codes and amounts.,web.dev
27,Performance,medium,Loading state choreography,"Show nothing under 300ms, a skeleton from 300ms to 2s, a spinner with a contextual message beyond 2s",Flash a skeleton on instant loads or leave a bare spinner on long waits,"<div class=""skeleton"" aria-hidden=""true""></div> <!-- 300ms-2s wait -->","<div class=""spinner""></div> <!-- sole feedback for a 5s load -->",A flashed skeleton or a bare spinner reads as jank.,web.dev
28,Security,critical,External link safety,"Add rel=""noopener noreferrer"" to any target=""_blank"" link",Open a new tab without rel and expose window.opener,"<a href=""x"" target=""_blank"" rel=""noopener noreferrer"">","<a href=""x"" target=""_blank"">",target=_blank without rel exposes window.opener to the new tab.,OWASP
29,Security,critical,Unsanitized HTML,"Insert user or remote content with textContent, or sanitize before innerHTML",Assign an untrusted string to innerHTML,el.textContent = userInput,el.innerHTML = userInput,Assigning untrusted input to innerHTML is a cross-site scripting hole.,OWASP
30,Security,critical,No secrets in client code,Keep API keys and tokens behind a server or proxy,Embed a private key in shipped JavaScript,fetch('/api/proxy'),"const KEY = ""sk_live_abc123""",A key shipped in client JavaScript is public.,OWASP
31,Performance,important,Non-blocking scripts,"Defer or async scripts, or place them at the end of body",Load a render-blocking script in the head,"<script src=""app.js"" defer></script>","<head><script src=""app.js""></script></head>",A render-blocking script in the head delays the first paint.,web.dev
32,Performance,medium,Font loading,Declare font-display: swap so text shows immediately,Block text rendering on the web font download,@font-face { font-display: swap; },@font-face { /* none */ },Without font-display swap the text stays invisible during the font download.,web.dev
33,Robustness,important,Handle async failure,Catch fetch errors and render a recovery path,Await a fetch with no error handling,try { await fetch(u) } catch (e) { showError() },const r = await fetch(u),An unhandled fetch rejection leaves the user on a blank state.,MDN
34,Robustness,important,Empty and error states,"Design empty, loading and error states, not only the populated one",Render only the happy path,if (!items.length) return renderEmpty(),items.map(render),Only the happy path leaves the empty and error views undesigned.,MDN
35,Robustness,medium,Guard optional data,Guard nested optional fields before access,Read deep fields without a guard,user?.profile?.name,user.profile.name,Reading a deep field with no guard throws on missing data.,MDN
36,Code,medium,Semantic interactive elements,Use button for actions and a for links,Attach a click handler to a div or span,<button onclick>,<div onclick>,A div with a click handler is not focusable or announced as a control.,WCAG 2.2
37,Code,low,No debug noise,"Strip console logging, dead code and debug tooling from the artifact","Ship console.log, commented-out code, ScrollTrigger markers or a dat.gui / lil-gui panel",/* clean */,"console.log(data); scrollTrigger: { markers: true }","console.log, dead code and debug tooling ship weight and leak internals.",MDN
38,Security,critical,Error leakage,Return a generic error page in production,Expose stack traces or framework error pages,catch { res.status(500).send('Something went wrong') },"app.use((e,req,res,next)=>res.status(500).send(e.stack))","Stack traces reveal framework, versions and file paths that guide an attacker.",OWASP
39,Security,important,Auth token storage,Keep auth tokens in httpOnly cookies,Store a session token in localStorage,Set-Cookie: token=x; HttpOnly; Secure; SameSite=Lax,"localStorage.setItem('token', jwt)",localStorage is readable by any script so an XSS can steal the token.,OWASP
40,Security,important,Avoid eval,Map or parse data instead of evaluating it,Pass a string to eval or new Function,const fn = handlers[name],eval(userInput),eval on tainted input is remote code execution.,OWASP
41,Robustness,important,Parse JSON safely,Wrap JSON.parse in try/catch or validate first,Call JSON.parse on a response with no guard,try { data = JSON.parse(text) } catch { data = null },const data = JSON.parse(await res.text()),A malformed response throws and takes down the render.,MDN
42,Robustness,medium,Clean up listeners,Remove listeners and clear timers on teardown,Add listeners that are never removed,"onCleanup(()=>el.removeEventListener('scroll', fn))","el.addEventListener('scroll', fn)",Orphaned listeners and timers leak memory and fire on dead nodes.,MDN
43,Robustness,medium,Print stylesheet,Ship an @media print block,Leave printing and PDF export unstyled,@media print { a[href]::after { content:' ('attr(href)')' } },/* no print styles */,Without it printed and PDF output wastes ink and hides link targets.,MDN
44,Accessibility,medium,Skip link,Provide a skip link that appears on focus,Ship an sr-only skip link that never becomes visible,.skip:focus { position:static; width:auto },.skip { position:absolute; left:-9999px },A keyboard user needs a visible skip link to jump past navigation.,WCAG 2.2
45,Robustness,low,Color-scheme meta,Declare the supported color schemes,Leave native controls locked to one theme,"<meta name=""color-scheme"" content=""light dark"">",<!-- no color-scheme -->,Native controls and scrollbars follow the page theme instead of clashing.,web.dev
46,Robustness,low,Guard JS-only UI,Degrade JS-dependent UI with noscript,Hide content that only appears once JS runs,<noscript>Enable JavaScript for the interactive view</noscript>,"<div class=""needs-js"" hidden>...</div>",Content hidden until JS runs is invisible when a script fails.,MDN
47,Motion,critical,JS motion needs a JS guard,"Mirror prefers-reduced-motion in JavaScript (matchMedia, useReducedMotion) when GSAP, Lenis or Framer drive the motion",Rely on a CSS kill-switch while a JS library sets inline styles,"if (matchMedia('(prefers-reduced-motion: reduce)').matches) lenis.destroy()",@media (prefers-reduced-motion: reduce) { * { animation: none } } /* GSAP untouched */,Inline styles set by an animation library ignore a CSS-only guard so the preference is silently unmet.,WCAG 2.2
48,Motion,important,One smoothing system,Pick native scroll or one smooth-scroll library,Stack scroll-behavior: smooth on top of Lenis or ScrollSmoother,html { scroll-behavior: auto } /* Lenis owns it */,html { scroll-behavior: smooth } /* plus Lenis */,Two concurrent smoothing systems fight over the scroll position and stutter.,MDN
49,Accessibility,important,Keep the document scrollbar,Leave the page scrollbar visible or style it lightly,Hide the scrollbar on html/body and replace it with a custom thumb,html { scrollbar-gutter: stable },"html { scrollbar-width: none } ::-webkit-scrollbar { display: none }","Hiding the document scrollbar removes the position indicator, keyboard affordance and accessibility API.",WCAG 2.2
50,Accessibility,important,Custom cursor keeps a fallback,Layer a decorative cursor over the real one and disable it for coarse pointers,Set cursor: none globally and replace the pointer with a JS element,"@media (pointer: fine) { .cursor-dot { /* overlay */ } }",* { cursor: none !important },A JS-only pointer vanishes on script failure and leaves keyboard and touch users with no equivalent.,WCAG 2.2
51,Layout,important,Pins need a scroll track,Give a pinned or sticky stage a parent taller than the viewport (150vh and up),Pin a section whose parent is exactly one viewport tall,.track { height: 300vh } .stage { position: sticky; top: 0 },.track { height: 100vh } .stage { position: sticky },A pin without track has zero scroll distance so the animation never shows or flashes once.,MDN
52,Layout,important,Transforms create containing blocks,"Keep sticky and fixed elements out of transformed, filtered or will-change ancestors",Nest position: sticky under an ancestor with transform or filter,.wrap { /* no transform */ } .stage { position: sticky },.wrap { transform: translateZ(0) } .stage { position: sticky /* broken */ },"A transform, filter or will-change on an ancestor silently rebinds sticky and fixed to that ancestor.",MDN
53,Performance,critical,Autoplay video hygiene,"Give every autoplay video muted, playsinline and a poster","Ship autoplay video without muted, playsinline or a poster","<video autoplay muted playsinline poster=""p.jpg"" src=""a.mp4"">","<video autoplay src=""a.mp4"">",Mobile browsers block unmuted autoplay and paint a blank box without playsinline; no poster means nothing shows until the file arrives.,web.dev
54,Performance,important,Stage image sequences,Load frame sequences in a window around the scroll position,Instantiate hundreds of new Image() at mount behind a blocking loader,const load = (i) => { /* window of ±20 frames */ },for (let i = 0; i < 243; i++) new Image().src = frame(i),An eager frame-sequence preload is a network and memory burst the visitor pays before any interaction.,web.dev
55,Code,medium,"Detect capability, not user agent","Branch on pointer, touch and media queries",Sniff the UA string to decide mobile behavior,"if (matchMedia('(pointer: coarse)').matches) disableCursor()",if (/Android|iPhone/i.test(navigator.userAgent)) { },UA sniffing misclassifies tablets and new devices; capability queries describe what actually matters.,MDN
56,Robustness,important,WebGL needs a gate and a fallback,Gate canvas effects on measured capability and keep the DOM version as the default,Mount a WebGL scene unconditionally with no DOM fallback,if (gpuTier >= 2 && !coarse) enhanceToCanvas(),new THREE.WebGLRenderer() /* always */,An ungated WebGL scene janks weak GPUs and leaves a black box when the context fails.,MDN
57,Code,important,No state updates in frame loops,"Mutate refs and objects inside useFrame, rAF and pointermove handlers",Route a per-frame value through setState,ref.current.position.x += speed * delta,useFrame(() => setX(x + 0.1)),A state update per frame routes 60+ component renders a second through the framework for nothing.,web.dev
58,Performance,important,No allocation in the frame loop,Allocate temporaries once and reuse them with set/copy,Call new or .clone() inside a frame loop,"const tmp = new THREE.Vector3(); useFrame(() => tmp.set(x, y, z))","useFrame(() => target.copy(new THREE.Vector3(x, y, z)))",Sixty allocations a second builds garbage-collector hiccups into the animation.,web.dev
59,Motion,medium,Animate by delta time,Advance loop animations by the frame delta,Advance by a fixed increment per frame,mesh.rotation.y += 0.5 * delta,mesh.rotation.y += 0.01,A fixed increment ties the speed to the refresh rate; a 120Hz screen runs it twice as fast.,MDN
60,Performance,medium,Cache asset loaders,Load 3D assets and textures through a cached-by-URL loader hook,Instantiate a raw loader in an effect per component,"const gltf = useLoader(GLTFLoader, url)","useEffect(() => { new GLTFLoader().load(url, set) }, [])",A raw loader refetches and reparses per component instance; a URL cache shares one parse and one GPU upload.,web.dev
61,Code,medium,Keep constructor props declarative,Pass constructor args and scalar shorthands to declarative 3D elements,Build engine objects inline in JSX props,"<sphereGeometry args={[1, 32, 32]} />","geometry={new THREE.SphereGeometry(1, 32, 32)}",An object built inline in a prop is recreated on every render and defeats the engine caches.,MDN
62,Accessibility,important,Hide marquee clones,Mark duplicated marquee copies aria-hidden and keep one readable instance,Let a screen reader read the cloned track three or four times,"<div aria-hidden=""true"">{items}</div> <!-- clones -->",{Array(4).map(() => <div>{items}</div>)},An infinite marquee duplicates its content for the loop; unhidden clones are read repeatedly by assistive tech.,WCAG 2.2
63,Motion,important,Guard infinite decorative loops,"Stop shimmer, beams, marquees and particle loops under prefers-reduced-motion",Ship an infinite decorative animation with no guard,@media (prefers-reduced-motion: reduce) { .beam { animation: none } },animation: shimmer 3s linear infinite; /* no guard */,An unguarded infinite loop animates forever for users who asked for calm; most registry components ship without the guard.,WCAG 2.2
64,Code,low,Localize number formatting,Format animated counters with the page locale,Hardcode a locale in a number formatter,new Intl.NumberFormat(document.documentElement.lang || undefined),"new Intl.NumberFormat(""en-US"")",A hardcoded locale renders wrong separators for every other audience.,MDN
65,Performance,important,Modern video formats with fallback,Offer WebM (VP9) first with an MP4 (H.264) fallback source,Ship a single heavy MP4 source,"<video><source src=""a.webm"" type=""video/webm""><source src=""a.mp4"" type=""video/mp4""></video>","<video src=""a.mp4"">",A modern codec roughly halves video weight; source order lets older browsers fall back.,web.dev
66,Performance,important,Lazy-load below-fold video,"Use preload=""none"" plus a poster (or an IntersectionObserver mount) below the fold",Preload every video at page load,"<video preload=""none"" poster=""p.jpg"">","<video preload=""auto""> <!-- footer video -->",Below-fold video bytes compete with the LCP for bandwidth.,web.dev
67,Code,medium,Mark up content video,Give watched video VideoObject JSON-LD and a video-sitemap entry,Leave content video invisible to search,"<script type=""application/ld+json"">{""@type"":""VideoObject""}</script>","<video controls src=""talk.mp4""> <!-- no markup -->",Content video without VideoObject and sitemap entries is invisible in video search.,web.dev
68,Motion,important,Guarantee decorative video playback,Render muted decorative loops through a canvas decoder so autoplay gates never block them,Trust <video autoplay> for a must-play hero,"canvas + WASM decoder, poster-first, reduced-motion shows the poster",<video autoplay muted playsinline> <!-- frozen in iOS Low Power Mode -->,System autoplay gates freeze native decorative video; a canvas is not a media element so no gate applies.,MDN
69,Layout,critical,Invisible layers still take clicks,Pair every faded full-bleed layer with pointer-events:none,Assume opacity:0 makes an overlay inert,"opacity: 0; pointer-events: none;",opacity: 0; /* still eats every click beneath it */,"opacity:0 hides a layer visually but it keeps receiving pointer events, so a faded full-screen overlay silently swallows clicks on the UI underneath. Nothing looks wrong, so it is found by users, not by review.",MDN
70,Motion,important,Never reuse a time-based curve on a scrubbed tween,Keep scroll-linked tweens linear and let the reader's scroll supply the easing (L-MOTION-3),Paste an expo-out or ease-out curve onto a scroll-scrubbed animation,"useTransform(scrollYProgress, [0, 1], [100, 0]) /* linear */","useTransform(scrollYProgress, [0, 1], [100, 0], { ease: cubicBezier(0.16, 1, 0.3, 1) })","Easing curves front-load by design, which is what you want on a clock and wrong on a scrollbar. Diagnostic: an expo-out tween is ~90% complete at the MIDPOINT of its scroll window, so it snaps shut and then waits while the reader is still scrolling. Sample your scrub at 50% and check the visual is near 50%.",MDN
71,Motion,medium,A hand has its own rhythm,Play handwriting and typing on a real clock and let scroll only trigger it,Scrub a handwriting or typing animation with scroll progress,"useEffect(() => animate(letters, { delay: stagger(0.09) }), [])","style={{ clipPath: useTransform(scrollYProgress, ...) }} /* writing */","Scrubbing ties the pen's speed to the wheel, so the stroke rate is whatever the reader's scroll happens to be. It cannot read as handwriting because no hand moves that way.",MDN
