id,kind,command,reference,query
rule-23,rule,/siteasy audit,skills/siteasy/references/form-patterns.md,
rule-24,rule,/siteasy ia,skills/siteasy/references/information-architecture.md,
rule-25,rule,/siteasy charts,skills/siteasy/references/data-viz.md,
rule-26,rule,/siteasy audit,skills/siteasy/references/form-patterns.md,
rule-27,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-28,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-29,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-30,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-31,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-32,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-33,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-34,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-35,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-36,rule,/inspect review,skills/inspect/references/review.md,
rule-37,rule,/inspect review,skills/inspect/references/review.md,
rule-38,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-39,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-40,rule,/inspect review,skills/inspect/references/code-quality.md,
rule-41,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-42,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-43,rule,/siteasy adapt,skills/siteasy/references/print-styles.md,
rule-44,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-45,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-46,rule,/siteasy harden,skills/siteasy/references/harden.md,
rule-47,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
rule-48,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
rule-49,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-50,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-51,rule,/siteasy parallax,skills/siteasy/references/parallax.md,
rule-52,rule,/siteasy parallax,skills/siteasy/references/parallax.md,
rule-53,rule,/siteasy parallax,skills/siteasy/references/parallax.md,
rule-54,rule,/siteasy parallax,skills/siteasy/references/parallax.md,
rule-55,rule,/inspect review,skills/inspect/references/review.md,
rule-56,rule,/siteasy overdrive,skills/siteasy/references/overdrive.md,
rule-57,rule,/siteasy overdrive,skills/siteasy/references/animation-engineering.md,
rule-58,rule,/siteasy overdrive,skills/siteasy/references/animation-engineering.md,
rule-59,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
rule-60,rule,/siteasy overdrive,skills/siteasy/references/overdrive.md,
rule-61,rule,/siteasy overdrive,skills/siteasy/references/creative-patterns.md,
rule-62,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-63,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,"node tools/search-references.mjs ""reduced motion"" --skill siteasy"
rule-64,rule,/inspect review,skills/inspect/references/review.md,
rule-65,rule,/siteasy video,skills/siteasy/references/video.md,
rule-66,rule,/siteasy video,skills/siteasy/references/video.md,
rule-67,rule,/seo schema,skills/seo/references/schema.md,
rule-68,rule,/siteasy video,skills/siteasy/references/video.md,
ai-crawler-robots,check,/seo geo,skills/seo/references/geo.md,
ai-crawler-http,check,/seo geo,skills/seo/references/geo.md,
ai-meta-directives,check,/seo geo,skills/seo/references/geo.md,
llms-txt,check,/seo geo,skills/seo/references/geo.md,
content-signal,check,/seo geo,skills/seo/references/geo.md,
ai-well-known-files,check,/seo geo,skills/seo/references/geo.md,
agent-link-header,check,/seo geo,skills/seo/references/geo.md,
markdown-negotiation,check,/seo geo,skills/seo/references/geo.md,
