stage,category,tier,cost,use,name,url,status,notes
build,ui-graphics,more,free,"asset or tool, check per item",illustration kit,https://illustrationkit.com,live,Premium open source illustrations added daily |
build,ui-graphics,more,free,"asset or tool, check per item",Doodad Pattern Generator,https://doodad.dev/pattern-generator,live,"Create unique, seamless, royalty-free patterns.|"
build,ui-graphics,more,free,"asset or tool, check per item",Pattern Monster,https://pattern.monster,live,A simple online pattern generator to create repeatable SVG patterns|
build,ui-graphics,more,free,"asset or tool, check per item",Exemplar,https://themeselection.com/products/exemplar-free-avatar-library-for-figma-and-sketch,live,Free Avatar Library for Figma and Sketch|
build,ui-graphics,more,free,"asset or tool, check per item",UIBundle,https://uibundle.com,live,"Thousands of Free Design Resources like UI Kits, Mockups, Illustrations, Icons, Fonts, 3D assets, Templates and more. |"
build,ui-graphics,more,free,"asset or tool, check per item",openby.design,http://openby.design,moved,"Custom crafted free UI design resources, for personal and commercial projects. No attribution is required. |"
build,ui-graphics,more,free,"asset or tool, check per item",Design Stripe,https://designstripe.com/catalog,moved,"Create beautiful illustrations, no design skills needed. |"
build,ui-graphics,more,free,"asset or tool, check per item",HOLA SVG!,https://holasvg.com,live,An SVG playground to share SVG stuff. |
build,ui-graphics,more,free,"asset or tool, check per item",symu.co,https://symu.co/freebies/templates-4,live,"Free templates, UI kits, icon, PSD |"
build,ui-graphics,more,free,"asset or tool, check per item",Mesh Gradient,https://meshgradient.in,live,Generate & download beautiful mesh gradients. |
build,ui-graphics,more,free,"asset or tool, check per item",CSS Shadow Gradients,https://alvarotrigo.com/shadow-gradients,live,Generate CSS Gradients For Shadows. |
build,ui-graphics,more,free,"asset or tool, check per item",Creatica,https://creatica.app/backgrounds,live,Generate unique beautiful and unique Backgrounds and patterns. |
build,ui-graphics,more,free,"asset or tool, check per item",Boring Avatars,https://boringavatars.com,live,"SVG random, cutely avatars collections |"
build,ui-graphics,more,free,"asset or tool, check per item",Html to Design,https://www.figma.com/community/plugin/1159123024924461424/html.to.design,live,Convert any website into fully editable Figma designs |
build,ui-graphics,more,free,"asset or tool, check per item",fffuel,https://www.fffuel.co,live,"collection of color tools and free SVG generators for gradients, patterns, textures, shapes & backgrounds |"
build,ui-graphics,more,free,"asset or tool, check per item",Mesher,https://csshero.org/mesher,live,A Free tool to create beautiful mesh gradients only with CSS code. Use your own colors or randomly generated ones to bui
build,ui-graphics,more,free,"asset or tool, check per item",Square Face Avatar Generator,https://www.squarefaceicongenerator.co,live,Generate square-face avatars & icons online |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Google Fonts,https://fonts.google.com,live,Library of around 1000 free licensed font families |
type,fonts,more,free,"asset, respect the font licence (often OFL)",DaFont,https://www.dafont.com,live,Archive of freely downloadable fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Use & Modify,https://usemodify.com,live,"Personal selection of beautiful, classy, punk, professional, incomplete, weird typefaces |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",1001 Free Fonts,https://www.1001freefonts.com,live,I think the name speaks for itself :smirk: |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Font Squirrel,https://www.fontsquirrel.com,unverified,"Font Squirrel scours the internet for high quality, legitimately free fonts |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Fabric,https://www.fontfabric.com/free-fonts,live,A digital type foundry crafting retail fonts and custom typography for various brands |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Just Free Fonts,https://justfreefonts.com,live,"A hand-curated collection of freeware, open-source, and public domain fonts intended for commercial use |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Tiff,https://winniethemu.github.io/tiff,live,A type diff tool that visually contrasts the differences between two fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",TypeKit Practice,https://practice.typekit.com,live,Learn about typography practices |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fontjoy,https://fontjoy.com,live,Generate font pairing in one click |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Golden Ratio,https://grtcalculator.com,live,Golden Ratio Typography Calculator |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontGet,https://www.fontget.com,live,Has a variety of fonts available to download and sorted neatly with tags |
type,fonts,top,free,"asset, respect the font licence (often OFL)",FontPair,https://fontpair.co,live,Helps you pair Google Fonts together
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Space,https://www.fontspace.com,live,A designer-centered free font website that has quick customizable previews |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Abstract Fonts,http://www.abstractfonts.com,live,Fonts free for personal and commercial use |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Free Typography,https://freetypography.com,live,A list of high quality fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Leon Sans,https://github.com/cmiscm/leonsans,live,A geometric sans-serif typeface made with code |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Lexend,https://www.lexend.com,live,A variable font empirically shown to significantly improve reading-proficiency |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fonts for Apple Platforms,https://developer.apple.com/fonts,live,"Get the details, frameworks, and tools you need to use system fonts for Apple platforms in your apps |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",SFWin,https://github.com/blaisck/sfwin,live,San Francisco Fonts for Windows 10 and non-Apple Platform |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Flipper,https://fontflipper.com,live,"Preview 800+ Google Fonts on top of your own designs, without having to download the fonts |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fonts Arena,https://fontsarena.com,live,Free curated fonts |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Befonts,https://befonts.com,live,High quality fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Arabic fonts,https://arabicfonts.net,live,Arabic fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontDrop,https://fontdrop.info,live,Simple and easy way to view the contents of font files |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Open Foundry,https://open-foundry.com,live,FREE platform for curated open-source typefaces |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Glyphter,https://glyphter.com,live,Upload your own SVGS and turn them into font files. Useful if you want a smaller library loaded |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Google Webfonts Helper,https://google-webfonts-helper.herokuapp.com/fonts,dead(404),A Hassle-Free Way to Self-Host Google Fonts |
type,fonts,more,freemium,"asset, respect the font licence (often OFL)",Rough Font Awesome,https://djamshed.github.io/rough-awesome-font/dist,live,When RoughJS meets Font Awesome |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FFonts,https://ffonts.net,live,Stylish fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Malayalam Fonts,https://smc.org.in/fonts,live,Malayalam fonts for free which are maintained by Swathanthra Malayalam Computing(SMC) |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Dev Fonts,https://devfonts.gafi.dev,live,Find and use the coding fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font M,https://fontm.com,live,Free font you can download for material coding and design |
type,fonts,more,free,"asset, respect the font licence (often OFL)",W Fonts,https://www.wfonts.com,live,Download Free fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Modern fluid typography editor,https://modern-fluid-typography.vercel.app,live,Fluid typography is a modern way of approaching responsive typography. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",UrbanFonts,https://www.urbanfonts.com,live,A collection of over 8000 free fonts and dingbats |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Typespiration,https://typespiration.com,live,Inspirational font combinations and color palettes |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fontsource,https://fontsource.org,live,Self-host Open Source fonts in neatly bundled NPM packages. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontBolt,https://www.fontbolt.com,live,Discover and generate your favorite fonts from pop culture. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontsWiki,https://fontswiki.com,live,"Free typography resource with font downloads, pairing guides, and font-in-use references for logos, films, games, and de"
type,fonts,top,free,"asset, respect the font licence (often OFL)",Fontshare,https://www.fontshare.com,live,"Fontshare is a free fonts service from the Indian Type Foundry (ITF), making quality fonts accessible to all. |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Bunny Fonts,https://fonts.bunny.net,live,"Privacy-focused Google Fonts alternative, GDPR compliant with faster CDN |"
color,color-tools,more,free,"tool, the palette you make is yours",PaletteForge,https://paletteforge.io,dead(404),Generate beautiful color palettes from different categories.
color,color-tools,more,free,"tool, the palette you make is yours",Colorlab,https://getcolorlab.com,live,"Create color palette, gradients, color scales, check contrast all in one place."
color,color-tools,more,free,"tool, the palette you make is yours",Color Brewer 2,https://colorbrewer2.org,live,"The original color palette generator, also supporting color blindness. Probably the scientifically best option. Also pro"
color,color-tools,more,free,"tool, the palette you make is yours",Huetone,https://github.com/ardov/huetone,live,A tool to create accessible color systems. |
color,color-tools,more,free,"tool, the palette you make is yours",Colormind.io,http://colormind.io,live,Color palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",ColorCurves.app,https://colorcurves.app,live,Color palette generator that uses curves to generate color palettes |
color,color-tools,more,free,"tool, the palette you make is yours",ColorGradient,https://colorgradient.dev,live,A free tool to create simple and complex CSS Gradients visually |
color,color-tools,top,free,"tool, the palette you make is yours",Coolors,https://coolors.co,live,Create the perfect palette or get inspired by thousands of beautiful color schemes |
color,color-tools,more,free,"tool, the palette you make is yours",UI Colors,https://uicolors.app/create,live,Tailwind CSS color palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",HTML Color Codes,https://htmlcolorcodes.com,live,"Get HTML color codes, Hex color codes, RGB and HSL values with our color picker, color chart and HTML color names |"
color,color-tools,more,free,"tool, the palette you make is yours",Colors & Fonts,https://www.colorsandfonts.com,live,"A curated library of colors, fonts and resources |"
color,color-tools,more,free,"tool, the palette you make is yours",Palette List,https://www.palettelist.com,dead(dns),Pick 2 colors you like and the tool generates thousands of palettes for you. |
color,color-tools,more,free,"tool, the palette you make is yours",Google Material Color Tool,https://material.io/resources/color,moved,Official Google Material Color Palette Tool|
color,color-tools,more,free,"tool, the palette you make is yours",Material Palette,https://www.materialpalette.com,live,"Free to pick palettes, icons and colors for Material Design|"
color,color-tools,more,free,"tool, the palette you make is yours",ColorSpace,https://mycolor.space,live,Generate nice color palettes from one color |
color,color-tools,more,free,"tool, the palette you make is yours",FlatUIColors,https://flatuicolors.com,live,Beautiful set of color palettes in various flavors |
color,color-tools,top,free,"tool, the palette you make is yours",Adobe Color,https://color.adobe.com/create,live,"Create color palettes, extract gradients from images, etc. |"
color,color-tools,more,free,"tool, the palette you make is yours",Colorsinspo,https://colorsinspo.com,live,All-in-one resource for finding everything about colors |
color,color-tools,more,free,"tool, the palette you make is yours",ColorsWall,https://colorswall.com,unverified,Place to store your color palettes and generate palette in one click |
color,color-tools,more,free,"tool, the palette you make is yours",Happyhues,https://www.happyhues.co,live,Happy Hues is a color palette inspiration site that acts as a real-world example as to how the colors could be used in y
color,color-tools,more,free,"tool, the palette you make is yours",Adobe Trends,https://color.adobe.com/trends,live,Discover current color trends in different industries from the creative communities on Behance and Adobe Stock|
color,color-tools,top,free,"tool, the palette you make is yours",Color Hunt,https://colorhunt.co,live,A free and open platform for color inspiration with thousands of trendy hand-picked color palettes |
color,color-tools,more,free,"tool, the palette you make is yours",Gradient Hunt,https://gradienthunt.com,live,A free and open platform for gradient inspiration with thousands of trendy hand-picked color gradients |
color,color-tools,more,free,"tool, the palette you make is yours",Web Gradients,https://webgradients.com,live,A free website to find good CSS gradients |
color,color-tools,more,free,"tool, the palette you make is yours",ColorBox,https://www.colorbox.io,live,A free website to produce color set |
color,color-tools,more,free,"tool, the palette you make is yours",CSS gradient,https://cssgradient.io,live,A free website to make custom gradient and some examples of gradient |
color,color-tools,more,free,"tool, the palette you make is yours",gradienta,https://gradienta.io,live,A pure css and jpg gradients |
color,color-tools,more,free,"tool, the palette you make is yours",UI Gradients,https://uigradients.com,live,UI gradients color generator |
color,color-tools,more,free,"tool, the palette you make is yours",Palette Generator,https://palettegenerator.colorion.co,live,Generate new color palette with every spacebar press |
color,color-tools,more,free,"tool, the palette you make is yours",Material Palettes,https://material.colorion.co,live,1000+ Material Design palettes |
color,color-tools,more,free,"tool, the palette you make is yours",Grabient,https://www.grabient.com,live,Gradient Selector |
color,color-tools,more,free,"tool, the palette you make is yours",ShadeSwash,https://shadeswash.netlify.app,live,Quickly generate shades of any color |
color,color-tools,more,free,"tool, the palette you make is yours",BrandColors,http://brandcolors.net,live,The biggest collection of official brand color codes |
color,color-tools,more,free,"tool, the palette you make is yours",BRAND PALETTES,https://brandpalettes.com,live,Logo Color Codes and Palettes |
color,color-tools,more,free,"tool, the palette you make is yours",Material Design Palette Generator,http://mcg.mbitson.com,unverified,Generate theme and color palette Material Design-like |
color,color-tools,more,free,"tool, the palette you make is yours",Colorate,https://colorate.azurewebsites.net,live,Color scheme tool for designers and developers. This will help you draw inspiration and serve as a resource for your col
color,color-tools,more,free,"tool, the palette you make is yours",0to255,https://www.0to255.com,live,"A color tool that makes it easy to lighten and darken colors. It's perfect for hover states, borders, gradients, and mor"
color,color-tools,more,free,"tool, the palette you make is yours",Color Blender,https://meyerweb.com/eric/tools/color-blend,live,A tool that shows the midpoint colors between two colors
color,color-tools,more,free,"tool, the palette you make is yours",Gradient Buttons,https://gradientbuttons.colorion.co,live,Ready to use copy/paste gradient buttons |
color,color-tools,more,free,"tool, the palette you make is yours",Khroma,http://khroma.co,live,"Khroma uses AI to learn which colors you like and creates limitless palettes for you to discover, search, and save. |"
color,color-tools,more,free,"tool, the palette you make is yours",whocanuse,https://whocanuse.com,live,A tool that brings attention and understanding to how color contrast can affect different people with visual impairments
color,color-tools,more,free,"tool, the palette you make is yours",Colorable,https://colorable.jxnblk.com,live,Color combination contrast tester |
color,color-tools,more,free,"tool, the palette you make is yours",Color Hex Picker,https://colorhexpicker.com,unverified,Tool to get hex code along with name of the color. |
color,color-tools,more,free,"tool, the palette you make is yours",Saruwakakun,https://saruwakakun.com/en/color-ideas,live,The stunning color scheme for website & App Designs with previews |
color,color-tools,top,free,"tool, the palette you make is yours",Paletton,https://paletton.com,live,Paletton.com is a designer color tool designed for creating color combinations that work together well.|
color,color-tools,more,free,"tool, the palette you make is yours",Colorzilla,https://www.colorzilla.com,live,A powerful online Photoshop-like CSS gradient editor |
color,color-tools,more,free,"tool, the palette you make is yours",CSS Gradient Editor,https://www.cssgradienteditor.com,live,You may only need this tool for creating CSS gradient backgrounds and patterns. |
color,color-tools,more,free,"tool, the palette you make is yours",Image Color Picker,https://image-color.com,moved,Image color picker and palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",CombineCOLORS,https://combinecolors.com,live,Color mixing tool |
color,color-tools,more,free,"tool, the palette you make is yours",Color Lovers,https://www.colourlovers.com/palettes,live,It will show the color schemes which are popular in the outside world. |
color,color-tools,more,free,"tool, the palette you make is yours",HTML CSS Color,https://www.htmlcsscolor.com,live,"Free online Color (USA) or Colour (British) tools: information, gradient generator, color wheels etc. |"
color,color-tools,more,free,"tool, the palette you make is yours",HEX Color Codes,https://hexcolorcodes.org,unverified,"It gets HTML color codes, Hex color codes, RGB and HSL values with our color picker, color chart and HTML color names. |"
color,color-tools,more,free,"tool, the palette you make is yours",CoolHue 2.0,https://webkul.github.io/coolhue,live,A free tool that shows different gradient examples in CSS and PNG format |
color,color-tools,more,free,"tool, the palette you make is yours",Colors.lol,https://colors.lol,live,"Interesting color palettes generated by a Twitter bot, there are hex codes and descriptive names for each color. |"
color,color-tools,more,free,"tool, the palette you make is yours",colors.dopely,https://colors.dopely.top,live,"Super-fast and simple color palette generator, palettes can be saved and shared in seconds. |"
color,color-tools,more,free,"tool, the palette you make is yours",UIColor Picker,https://uicolorpicker.com,dead(dns),A collection of UI Colors with hex codes available to be copied in just one click. |
color,color-tools,more,free,"tool, the palette you make is yours",Color Hex,https://www.color-hex.com,live,"Color-hex gives information about colors including color models (RGB,HSL,HSV and CMYK) and generates a simple css code f"
color,color-tools,more,free,"tool, the palette you make is yours",FarbVelo,https://farbvelo.elastiq.ch,live,A random color palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",Veranda Color,https://verandacolor.com,moved,"Browse color palettes made by other designers, generate and submit your own |"
color,color-tools,more,free,"tool, the palette you make is yours",Duo,https://duo.alexpate.uk,moved,Duo is a collection of colour combinations that I've curated from personal projects or that I've come across on the web.
color,color-tools,more,free,"tool, the palette you make is yours",Lospec Palette List,https://lospec.com/palette-list,live,The Lospec Palette List is a database of palettes for pixel art. |
color,color-tools,more,free,"tool, the palette you make is yours",Palettte App,https://palettte.app,moved,Build smooth color schemes that flow from one color to another. |
color,color-tools,more,free,"tool, the palette you make is yours",Eggradients,https://www.eggradients.com,live,Gradient Background Colors with eggs.|
color,color-tools,more,free,"tool, the palette you make is yours",Gradientos,https://www.gradientos.app,live,Find and test gradients easily. |
color,color-tools,more,free,"tool, the palette you make is yours",Encycolorpedia,https://encycolorpedia.com,live,"Website for referencing web colors. Color knowledge, Web colors, Hex color codes. |"
color,color-tools,more,free,"tool, the palette you make is yours",Croma,https://chroma.dev,live,"Powerful color tools including an eyedropper, color picker, and palette generator. |"
color,color-tools,more,free,"tool, the palette you make is yours",Color Designer,https://colordesigner.io/gradient-generator,live,A gradient generetor from one color. |
color,color-tools,more,free,"tool, the palette you make is yours",Duotone,https://duotone.shapefactory.co,live,"Find beautiful free duotone images to use in any project, or make custom duotone images by uploading your own image and "
color,color-tools,more,free,"tool, the palette you make is yours",coolbackgrounds generator,https://coolbackgrounds.io,live,"Explore a beautifully curated selection of cool backgrounds that you can add to blogs, websites. |"
color,color-tools,more,free,"tool, the palette you make is yours",Color Shades Generator,https://mdigi.tools/color-shades,live,"We can quickly generate color shades of our favorite colors or any colors, to create templates or css components with mu"
color,color-tools,top,free,"tool, the palette you make is yours",Huemint,https://huemint.com,live,"Huemint uses machine learning to create unique color schemes for your brand, website or graphic |"
color,color-tools,more,free,"tool, the palette you make is yours",InclusiveColors palette creator,https://www.inclusivecolors.com,live,"Create custom accessible Tailwind-style color palettes, where you can modify HSL curves across whole swatches, check WCA"
color,color-tools,more,free,"tool, the palette you make is yours",AiSeka,https://www.aiseka.com,dead(dns),Discover Created the best Color Palette & Color Tools. |
color,color-tools,more,free,"tool, the palette you make is yours",Volume,https://www.volumecolor.io,live,3D OKLCH color palette generator. |
color,color-tools,more,free,"tool, the palette you make is yours",EnigmaEasel,https://enigmaeasel.com,live,AI color palette generator and gradient generator for creating accessible design systems with built-in contrast auditing
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Circum Icons,https://circumicons.com,live,"Consistant open source icons as SVG for React, Vue and Svelte |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",UXWing,https://uxwing.com,live,"Well Optimized, Free icons for commercial use |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Shapedfonts Iconclub,https://shapedfonts.com/iconclub,live,8000+ free icons |
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Feather Icons,https://feathericons.com,live,"Beautiful, customizable open source icons |"
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Tabler Icons,https://tabler.io/icons,live,"3500+ highly customizable open source SVG icons with React, Preact, Vue, Svelte and SolidJS support |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Xicons,https://www.xicons.org/#,live,"SVG Vue/React components integrated from fluentui-system-icons, ionicons, etc. (Vue3, Vue2, React, SVG). |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Iconoir,https://iconoir.com,live,Free library of 900+ open source icons |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Simple Icons,https://simpleicons.org,live,1307 Free SVG icons for popular brands |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Linear Icons,https://linearicons.com/free,live,1000+ Ultra crisp vector icons |
build,icons,more,freemium,"asset, check the set licence (often MIT or CC)",Icons8,https://icons8.com,live,"Free icons, photos, vectors and tools |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Flat Icon,https://www.flaticon.com,live,"The largest database of free icons in PNG, SVG, EPS, PSD and BASE 64 formats |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",The Noun Project,https://thenounproject.com,live,"Over 2 Million curated icons, created by a global community |"
build,icons,more,freemium,"asset, check the set licence (often MIT or CC)",Iconscout,https://iconscout.com,live,Free Download Icons illustrations stock photos at one place |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",IconSear.ch,https://iconsear.ch/search.html,live,"Search engine with over 50,000 SVG icons indexed |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Nucleo App,https://nucleoapp.com,live,"Nucleo is a beautiful library of 27500 icons, and a powerful application to collect, customize and export all your icons"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Icon-icons.com,https://icon-icons.com,live,"Free Icons PNG, ICO, ICNS and Vector file SVG |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Bootstrap Icons,https://icons.getbootstrap.com,live,Free Icons built for Bootstrap but they'll work in any project |
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Remix Icon,https://remixicon.com,live,Simply Delightful Icon System |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Iconmonstr,https://iconmonstr.com,live,Discover 4496+ free icons in 313 collections |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Vivid.js,https://webkul.github.io/vivid,live,Ready to use Free and Open Source SVG Icons Pack JavaScript Library. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Iconfinder,https://www.iconfinder.com,moved,"Free and premium vector icons in SVG, PNG, CSH and AI format |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Lordicon,https://lordicon.com/icons#free,live,50 free animated interactive icons |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",UseAnimations,https://useanimations.com,live,Free Animated Icons in SVG and Json Format(for lottie) |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",css.gg,https://css.gg,live,"700+ Open-source CSS, SVG and Figma UI Icons Available in SVG Sprite, styled-components, NPM & API |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",IconBros,https://www.iconbros.com,unverified,7843+ free icons grouped in 182 collections |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Material Design Icons,https://materialdesignicons.com,moved,"An icon collection allowing designers and developers targeting various platforms to download icons in the format, color "
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Heroicons,https://heroicons.dev,live,"Free, open source icons from the creators of Tailwind CSS. |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Zondicons,https://www.zondicons.com/icons.html,live,A set of free premium SVG icons for you to use on your digital products. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Endless Icons,http://endlessicons.com,live,A website offering a number of free icons. Icons are tagged and also compressed into kits. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Icomoon,https://icomoon.io/app,live,Browse 5500+ Free Icons. Add any set you wish to easily browse and search its icons. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Eva Icons,https://akveo.github.io/eva-icons/#,live,Eva Icons is a pack of more than 480 beautifully crafted Open Source icons for common actions and items. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Cryptoicons,http://cryptoicons.co,dead(410),A set of 430 crypto and fiat currency icons. Completely free. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Ikonate,https://ikonate.com,live,Fully customizable & accessible vector icons |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",appicon,https://appicon.co,live,"Quickly generate app icons in different sizes for your IOS, macOS and Android projects|"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",LineIcons,https://lineicons.com,live,2000+ Essential Line Icons for Designers and Developers |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Evericons,https://www.figma.com/resources/assets/evericons-for-figma,live,Evericons is a big pack of over 460 free icons designed by Aleksey Popov. |
