name,url,category,cost,notes
PerfectPixel,https://chrome.google.com/webstore/detail/perfectpixel-by-welldonec/dkaagdgjmgdmbnecmcefdhjekcoceebi,audit-extension,free,Overlays a design image to compare against the build
Page Ruler Redux,https://chrome.google.com/webstore/detail/page-ruler-redux/giejhjebcalaheckengmchjekofhhmal,audit-extension,free,Measures element dimensions and positions on a page
CSSViewer,https://chrome.google.com/webstore/detail/cssviewer/ggfgijbpiheegefliciemofobhmofgce,audit-extension,free,Shows CSS properties of a hovered element
Stylebot,https://chrome.google.com/webstore/detail/stylebot/oiaejidbmkiecgbjeifoejpgmdaleoha,audit-extension,free,Applies custom CSS to a live page for testing
Responsive Viewer,https://chrome.google.com/webstore/detail/responsive-viewer/inmopeiepgfljkpkidclfgbgbmfcennb,audit-extension,free,Renders a page across multiple screen sizes at once
SVG Gobbler,https://github.com/rossmoody/svg-gobbler,audit-extension,free,Finds SVGs on a page to copy download or export
BulkResizePhotos,https://bulkresizephotos.com/,image-optimizer,free,Batch resize and compression running locally in the browser
CompressJPEG,https://compressjpeg.com/,image-optimizer,free,Bulk JPEG compression with per-image quality control
CompressNow,https://compressnow.com/,image-optimizer,free,Compresses JPEG GIF and PNG at a chosen rate
Promo Image Resizer,https://promo.com/tools/image-resizer/,image-optimizer,free,Resizes images to social media dimensions
Image Optimizer,http://www.imageoptimizer.net/,image-optimizer,free,Compresses images with selectable quality presets
JPEG Optimizer,http://jpeg-optimizer.com/,image-optimizer,free,Resizes and compresses photos for web display
Resizing.app,https://resizing.app/,image-optimizer,free,Resizes converts and compresses images in the browser
OnlinePngtools,https://onlinepngtools.com/resize-png,image-optimizer,free,Resizes PNG while keeping transparency
Verexif,https://www.verexif.com/en/,image-optimizer,free,Strips EXIF metadata from images
Jpeg.io,https://www.jpeg.io,image-optimizer,free,Converts common image formats to optimized JPEG
JPEG Compressor,https://jpegcompressor.com/,image-optimizer,free,Compresses JPEG PNG SVG WebP and GIF files
Image Resize AI,https://imageresizeai.com/,image-optimizer,free,Client-side toolkit to resize crop convert and compress images
PNG Compressor,https://99tools.net/png-compressor/,image-optimizer,free,In-browser PNG compression without uploads
Leonardo.Ai,https://leonardo.ai/,ai-design,freemium,Image generation platform with reference-image control
Galileo AI,https://www.usegalileo.ai/,ai-design,freemium,Generates UI mockups from text prompts
ImgGen.Ai,https://imggen.ai/,ai-design,free,Image generation and enhancement tools with no account required
Unblurimage.Ai,https://unblurimage.ai/,ai-design,free,Sharpens blurry images without signup
Free AI Diagram Generator,https://diagram-generator.com/,ai-design,free,Creates several diagram types from prompts
PolyGlyph,https://polyglyph.io/,ai-design,freemium,Generates SVG vectors from prompts with an in-browser editor
Higgsfield,https://higgsfield.ai/,ai-design,paid,AI image and video generation with start/end-frame conditioning for seam-locked scroll-scrub sequences
